,compound,CSID,MP_Kelvin,SMILES,rdk_smiles,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
0,(-)-levonorgestrel,12560.0,509.15,O=C4\C=C3/[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)CC)CC4,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,1.6711962827,597.45305229,16.2422762082,14.1835245318,14.1835245318,11.0437721856,9.47897351196,9.47897351196,8.39526554876,8.39526554876,8.01838564835,8.01838564835,6.96030985025,6.96030985025,5.60105081098,9.90106457891,0.0,5.4149904694,29.454869131,44.9457513605,18.4147477759,0.0,6.07602010683,12.8441715185,6.42334989562,312.208930136,1.21739130435,2.04347826087,2.78260869565,0.761904761905,-1.07,23.0,284.229,264546.994391,15.4572606861,5.21417022552,1.95554717072,139.280146914,11.75030459,0.37702277029,11.75030459,0.155176401995,0.0608923453641,0.155176401995,-0.892823549173,-0.37702277029,3.8826,90.4928,312.453,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,3.0,124.0,5.10652739484,5.60105081098,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,6.42334989562,18.4172760486,81.1142172749,11.8358120923,0.0,4.0,9.90106457891,5.78324494636,0.0,0.0,29.086614654,70.312182617,0.0,11.6491246369,0.0,12.3437842145,0.0,0.0,0.0,0.0,16.4908231522,4.79453718407,41.4303988685,64.711131806,11.6491246369,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746050157465
1,"(1E,4E)-1,5-Di(2-naphthyl)-1,4-pentadien-3-one",4523376.0,516.65,O=C(\C=C\c2ccc1c(cccc1)c2)\C=C\c2ccc1c(cccc1)c2,O=C(/C=C/c1ccc2ccccc2c1)/C=C/c1ccc2ccccc2c1,1.48988613801,1057.59947168,17.7693739457,14.3005531359,14.3005531359,12.7759895833,8.65625963208,8.65625963208,6.28221162562,6.28221162562,4.42714345031,4.42714345031,3.03520612307,3.03520612307,0.0,4.79453718407,0.0,5.78324494636,0.0,11.1269029834,21.5448968579,12.1520402137,48.5502426244,48.5309365477,0.0,334.135765196,0.538461538462,0.961538461538,1.42307692308,0.0,-3.45,26.0,316.274,1431647.93857,16.0420285998,7.20098185832,3.62464918242,152.458852997,12.1432656211,0.289964768881,12.1432656211,0.178177937135,0.0219284874444,0.178177937135,-0.0219284874444,-0.289964768881,6.2887,110.971,334.418,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,124.0,0.0,0.0,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,84.9484450352,56.9565741918,0.0,0.0,4.0,4.79453718407,39.4801820179,0.0,0.0,0.0,0.0,0.0,108.208082156,0.0,0.0,0.0,0.0,0.0,0.0,5.78324494636,4.79453718407,0.0,11.1269029834,97.0811791721,0.0,33.6969370715,0.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400873485273
2,(2E)-1-(2-Hydroxyphenyl)-3-phenyl-2-propen-1-one,553827.0,360.9,OC1=C(C=CC=C1)C(\C=C\C2=CC=CC=C2)=O,O=C(/C=C/c1ccccc1)c1ccccc1O,2.18126663409,541.858094868,12.0875756698,9.20631484705,9.20631484705,8.27085694783,5.32644841722,5.32644841722,3.6254167644,3.6254167644,2.39623968689,2.39623968689,1.50784225624,1.50784225624,0.0,9.90106457891,0.0,11.5327567796,5.5634514917,5.5634514917,12.1423871753,24.2751213122,30.3318353423,0.0,0.0,224.083729624,0.941176470588,1.58823529412,2.29411764706,0.0,-2.35,17.0,212.163,9733.7395834,11.1448504119,5.12240119834,2.81585160106,99.8494764888,11.7920214475,0.507185303375,11.7920214475,0.189070097842,0.00945525741161,0.189070097842,-0.201895313681,-0.507185303375,3.2883,67.9133,224.259,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,84.0,5.10652739484,5.74951183328,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,48.5405895861,23.7722057355,0.0,5.5634514917,2.0,9.90106457891,11.8592650532,0.0,0.0,0.0,0.0,0.0,71.8002267064,0.0,5.74951183328,0.0,0.0,5.74951183328,0.0,10.8897723412,0.0,0.0,15.9214401675,60.673323723,0.0,6.07602010683,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641273617792
3,(2E)-1-(3-Hydroxyphenyl)-3-(2-nitrophenyl)-2-propen-1-one,7730515.0,461.15,OC1=CC=CC(=C1)C(\C=C\C2=C(C=CC=C2)[N+](=O)[O-])=O,O=C(/C=C/c1ccccc1[N+](=O)[O-])c1cccc(O)c1,2.2588799067,691.777798373,14.535169427,10.3926747543,10.3926747543,9.57538740047,5.82588718916,5.82588718916,4.06383796167,4.06383796167,2.67838947969,2.67838947969,1.71560387474,1.71560387474,4.92331104882,20.0153828477,0.0,17.2201430543,11.1269029834,0.0,30.3511414191,30.3318353423,0.0,0.0,0.0,269.068807832,1.15,1.9,2.6,0.0,-2.95,20.0,258.168,33682.6571538,13.4809359198,5.79338747654,3.08152673082,114.502452211,11.8835993008,0.507941832622,11.8835993008,0.27608159171,0.00468364197531,0.27608159171,-0.501493239271,-0.507941832622,3.1965,74.5677,269.256,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,100.0,5.10652739484,5.74951183328,5.78324494636,0.0,5.68738627468,0.0,14.9088554528,0.0,0.0,0.0,24.2654682738,30.3511414191,11.6298185602,10.4867625405,2.0,14.8243756277,17.5466513279,0.0,0.0,0.0,0.0,0.0,75.8481779067,0.0,5.74951183328,0.0,5.68738627468,5.74951183328,0.0,15.81308339,0.0,10.1143182688,15.9214401675,54.6069566545,0.0,6.07602010683,0.0,80.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399765071776
4,(2E)-1-(4-Hydroxyphenyl)-3-(4-methoxyphenyl)-2-propen-1-one,4511547.0,463.15,OC1=CC=C(C=C1)C(\C=C\C2=CC=C(C=C2)OC)=O,COc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,2.08484177366,580.396040117,13.664925939,10.5372128683,10.5372128683,9.185871848,5.84352139129,5.84352139129,4.01761786675,4.01761786675,2.69478260604,2.69478260604,1.60885550935,1.60885550935,0.0,4.79453718407,0.0,11.5327567796,5.5634514917,11.312963325,18.2087542438,25.318551785,24.2654682738,0.0,9.84339034864,254.094294308,1.05263157895,1.68421052632,2.26315789474,0.0625,-2.55,19.0,240.173,24069.3470089,12.8953165409,5.86649201449,3.45309487554,111.327963833,11.8592737465,0.507966212976,11.8592737465,0.185354735448,0.101094393004,0.185354735448,-0.101094393004,-0.507966212976,3.2969,74.4653,254.285,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,96.0,9.84339034864,11.4990236666,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,18.2087542438,48.0376740093,5.5634514917,7.10979754128,2.0,14.6379275327,11.8592650532,0.0,0.0,0.0,0.0,7.10979754128,65.7338596379,0.0,11.4990236666,4.7368629538,0.0,11.4990236666,0.0,17.9995698825,0.0,0.0,15.9214401675,54.6069566545,0.0,6.07602010683,0.0,46.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672315670436
5,"(2E)-1,3-Bis-(4-methoxyphenyl)-2-propen-1-one",4526784.0,368.15,COC1=CC=C(C=C1)C(\C=C\C2=CC=C(C=C2)OC)=O,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,2.06618838368,595.137172546,14.3720327202,11.4982475633,11.4982475633,9.72387665046,6.23228702924,6.23228702924,4.19924538263,4.19924538263,2.91749643142,2.91749643142,1.73844405533,1.73844405533,0.0,4.79453718407,0.0,5.78324494636,5.5634514917,17.0624751583,0.0,50.6371035701,24.2654682738,0.0,9.4737259076,268.109944372,0.85,1.35,1.85,0.117647058824,-2.55,20.0,252.184,42273.6484638,13.871853541,6.56848394746,3.47928162942,118.012217424,11.9884191547,0.496767824205,11.9884191547,0.185354737328,0.0384526696481,0.185354737328,-0.0384526696481,-0.496767824205,3.5999,79.3525,268.312,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,102.0,9.4737259076,11.4990236666,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,18.2087542438,48.0376740093,5.5634514917,14.2195950826,2.0,14.2682630917,11.8592650532,0.0,0.0,0.0,0.0,14.2195950826,65.7338596379,0.0,11.4990236666,9.4737259076,0.0,11.4990236666,0.0,20.0028400289,0.0,0.0,15.9214401675,54.6069566545,0.0,6.07602010683,0.0,35.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613670418161
6,"(2E)-1,3-Diphenyl-2-propen-1-one",553346.0,330.15,C1(=CC=CC=C1)C(\C=C\C2=CC=CC=C2)=O,O=C(/C=C/c1ccccc1)c1ccccc1,2.11727869188,483.358105462,11.2173321818,8.83645152074,8.83645152074,7.86017334531,5.1861749528,5.1861749528,3.47429310975,3.47429310975,2.28503749477,2.28503749477,1.43470675634,1.43470675634,0.0,4.79453718407,0.0,5.78324494636,0.0,11.1269029834,0.0,6.07602010683,66.7396907914,0.0,0.0,208.088815004,0.8125,1.375,2.0,0.0,-2.15,16.0,196.164,6818.99432316,10.3705818,5.07828557156,2.67180905822,95.0552427366,11.7311881141,0.289290909398,11.7311881141,0.185350175621,0.0319009826153,0.185350175621,0.0319009826153,-0.289290909398,3.5827,66.2485,208.26,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,78.0,0.0,0.0,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,66.7396907914,11.6394715985,5.5634514917,0.0,2.0,4.79453718407,11.8592650532,0.0,0.0,0.0,0.0,0.0,77.8665937748,0.0,0.0,0.0,0.0,0.0,0.0,5.78324494636,0.0,0.0,15.9214401675,66.7396907914,0.0,6.07602010683,0.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556229819785
7,"(2E)-3-(3,4-Dihydroxyphenyl)-1-phenyl-2-propen-1-one",4976780.0,485.65,OC1=C(C=CC(=C1)\C=C\C(=O)C2=CC=CC=C2)O,O=C(/C=C/c1ccc(O)c(O)c1)c1ccccc1,2.15928231987,585.94263869,12.9578191578,9.57617817336,9.57617817336,8.66470379795,5.46073881749,5.46073881749,3.81176122995,3.81176122995,2.48493530996,2.48493530996,1.51468762053,1.51468762053,0.0,9.90106457891,0.0,17.2822686129,11.1269029834,0.0,18.2087542438,36.4078554491,6.06636706846,0.0,5.10652739484,240.078644244,0.944444444444,1.66666666667,2.33333333333,0.0,-2.55,18.0,228.162,14223.8232266,11.921540359,5.18656380673,2.76679058795,104.643710241,11.7711698476,0.504259631902,11.7711698476,0.185350193569,0.10818074452,0.185350193569,-0.204342508608,-0.504259631902,2.9939,69.5781,240.258,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,90.0,10.2130547897,0.0,17.2822686129,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,42.4742225176,23.7722057355,5.5634514917,0.0,2.0,15.0075919738,11.8592650532,0.0,0.0,0.0,0.0,0.0,65.7338596379,0.0,11.4990236666,0.0,0.0,11.4990236666,0.0,15.996299736,0.0,0.0,15.9214401675,54.6069566545,0.0,6.07602010683,0.0,57.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492316349919
8,(2E)-3-(4-Chlorophenyl)-1-(4-methoxyphenyl)-2-propen-1-one,4462926.0,360.15,ClC1=CC=C(C=C1)\C=C\C(=O)C2=CC=C(C=C2)OC,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,2.08959258955,583.150927619,13.664925939,10.4679637458,11.2238926919,9.185871848,5.80889683005,6.18686130306,3.97763686724,4.41407264771,2.67169956521,2.92367588055,1.59731398894,1.72330214661,0.0,4.79453718407,0.0,5.78324494636,10.5860848054,11.312963325,0.0,55.6600401657,12.1327341369,0.0,16.337802844,272.060407336,1.05263157895,1.68421052632,2.26315789474,0.0625,-2.06,19.0,259.627,24151.9404964,13.3735024838,6.20785007632,3.69842495662,116.836996307,11.9308745731,0.496767786373,11.9308745731,0.185354737245,0.0438860544218,0.185354737245,-0.0438860544218,-0.496767786373,4.2447,77.8105,272.731,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,96.0,4.7368629538,5.74951183328,5.78324494636,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,29.809694134,48.0376740093,10.5860848054,7.10979754128,2.0,9.53140013787,23.4602049434,0.0,0.0,0.0,0.0,7.10979754128,70.7564929517,0.0,5.74951183328,4.7368629538,0.0,5.74951183328,11.6009398902,12.8930424876,0.0,0.0,15.9214401675,54.6069566545,5.02263331374,6.07602010683,0.0,26.3,0.0,5.79593698942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.148507455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614459789442
9,(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-(2-hydroxyphenyl)-2-propen-1-one,4767768.0,402.15,OC1=C(C=C(C=C1)\C=C\C(=O)C2=C(C=CC=C2)O)OC,COc1cc(/C=C/C(=O)c2ccccc2O)ccc1O,2.21397363691,659.276490286,14.535169427,10.9070761946,10.9070761946,9.61339220293,5.98977791985,5.98977791985,4.1460193889,4.1460193889,2.80044593668,2.80044593668,1.74157647083,1.74157647083,0.0,15.0075919738,0.0,22.8457201046,11.312963325,0.0,25.318551785,36.4078554491,0.0,0.0,4.7368629538,270.089208928,1.1,1.85,2.55,0.0625,-2.75,20.0,256.172,35130.8169092,13.6763464065,5.92748259975,2.97742022715,116.122197585,11.932794076,0.507185303375,11.932794076,0.189070115794,0.0385929156889,0.189070115794,-0.296164965986,-0.507185303375,3.0025,76.1301,270.284,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,102.0,14.9499177435,5.74951183328,17.2822686129,0.0,0.0,0.0,4.79453718407,0.0,0.0,0.0,24.2751213122,35.9049398724,0.0,12.673249033,2.0,19.7444549276,11.8592650532,0.0,0.0,0.0,0.0,7.10979754128,59.6674925695,0.0,17.2485354999,4.7368629538,0.0,17.2485354999,0.0,23.1060972773,0.0,0.0,15.9214401675,48.5405895861,0.0,6.07602010683,0.0,66.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661723446675
